,Title News,Description,Date/Time,Fotball,Article Link
0,"
                All of Tuesday's fixtures and scores            
",Keep up to date with all the games across the country and the continent... ,12/04/22 2:10pm,Football,https://www.skysports.com/football/fixtures-results/12-April-2022
1,"
                Fernandinho set to leave Man City | Pep: I didn't know            
",Manchester City captain Fernandinho shocked Pep Guardiola by revealing he is not planning to sign a new deal to keep him at the club beyond this season.,12/04/22 2:08pm,Football,https://www.skysports.com/football/news/11095/12588609/fernandinho-confirms-he-is-set-to-leave-man-city-pep-guardiola-i-didnt-know
2,"
                Merson Says: There's still something Spursy about Tottenham            
","Paul Merson reflects on why Arsenal could still pip Tottenham to fourth spot, the problems at Manchester United and gives his verdict on the Premier League title race...",12/04/22 1:40pm,Paul Merson,https://www.skysports.com/football/news/11661/12588503/paul-merson-says-im-still-not-convinced-by-tottenham-theyve-still-got-a-spursy-performance-in-them
3,"
                No Lukaku, no problem - Havertz has helped Chelsea move on ahead of Real clash            
",Romelu Lukaku will miss Chelsea's huge game at Real Madrid - but his struggles plus the blossoming of Kai Havertz mean the Blues may not miss their record signing. ,12/04/22 1:11pm,Football,https://www.skysports.com/football/news/11095/12560125/real-madrid-vs-chelsea-how-kai-havertz-has-replaced-romelu-lukaku-to-lead-the-line-for-the-blues
4,"
                CL reforms 'Super League via back door', warns fans group            
","Champions League reform proposals put forward by UEFA amount to a Super League via the back door, according to a Premier League fans' group.",12/04/22 1:10pm,Football,https://www.skysports.com/football/news/11945/12588565/champions-league-reforms-like-european-super-league-via-back-door-warns-premier-league-network
5,"
                England captain Leah Williamson and the five-day penalty wait            
","Leah Williamson will walk out as the new England captain in Belfast, a city that provides her with happy, albeit nerve-wracking, memories.",12/04/22 12:00pm,Football,https://www.skysports.com/football/news/11095/12588497/leah-williamson-the-new-england-captain-and-the-five-day-penalty-wait
6,"
                Man Utd, Spurs want West Brom's Johnstone            
","Man Utd and Tottenham will battle it out for the signature of Sam Johnstone in the summer, when the England goalkeeper's West Brom contract ends.",12/04/22 11:41am,West Bromwich Albion,https://www.skysports.com/football/news/11698/12588523/manchester-united-and-tottenham-targeting-summer-transfer-for-west-brom-and-england-goalkeeper-sam-johnstone
7,"
                PL or CL? What do Man City and Liverpool need to win?            
",What do Liverpool and Man City need to win this season to cement their place in history - the Premier League or the Champions League?,12/04/22 11:03am,Football,https://www.skysports.com/football/news/11095/12588501/premier-league-or-champions-league-what-do-liverpool-and-man-city-need-to-win
8,"
                Godfrey still out to prove people wrong            
",Evertonâ€™s Ben Godfrey on why proving people wrong has driven him on since being released as a youngster.,12/04/22 11:00am,Exclusives and features,https://www.skysports.com/football/news/11671/12587065/ben-godfrey-interview-everton-defender-on-why-proving-people-wrong-has-driven-him-on-since-his-trial-days
9,"
                Tuchel on facing Real: No five-sub rule in PL puts us at 'huge disadvantage'            
","Chelsea head coach Thomas Tuchel says his side will need a ""fantastic script"" to overturn the 3-1 first-leg deficit at Real Madrid on Tuesday night.",12/04/22 10:30am,Football,https://www.skysports.com/football/real-madrid-vs-chelsea/preview/463257
10,"
                Papers: PSG in talks to sign Lukaku            
",All the top stories and transfer rumours from Tuesday's national newspapers...,11/04/22 10:30pm,Football,https://www.skysports.com/football/news/30778/12588354/paper-talk
11,"
                Huddersfield 2-0 Luton            
",Highlights of the Sky Bet Championship match between Huddersfield Town and Luton Town.,11/04/22 10:02pm,Football,https://www.skysports.com/watch/video/12588336/huddersfield-2-0-luton
12,"
                Luton pay the penalty as Huddersfield climb to third            
",Huddersfield climbed to third in the Sky Bet Championship table and maintained their slim automatic promotion hopes with a 2-0 victory over Luton.,11/04/22 10:00pm,Championship match reports,https://www.skysports.com/football/huddersfield-town-vs-luton-town/report/447821
13,"
                Huddersfield's Russell scores audacious lob!            
",Jon Russell audaciously lobbed James Shea to give Huddersfield the lead against Luton in the Sky Bet Championship match.,11/04/22 9:10pm,Football,https://www.skysports.com/watch/video/12588326/russell-lobs-shea-to-give-terriers-the-lead
14,"
                Sotiriou: The breakout star of Wellens' Orient revival            
","Leyton Orient's Ruel Sotiriou on his struggles under Kenny Jackett, the instant impact of Richie Wellens and how he is seizing his opportunity in the spotlight.",11/04/22 7:00pm,Exclusives and features,https://www.skysports.com/football/news/11742/12588193/ruel-sotiriou-interview-leyton-orients-young-star-thriving-in-clubs-revival-under-richie-wellens
15,"
                Robber threatened to cut Ashley Cole's fingers off            
","A robber threatened to cut former England footballer Ashley Cole's fingers off with pliers during a violent break-in at his home, a court has heard.",11/04/22 6:55pm,Football,https://www.skysports.com/football/news/11095/12588276/ashley-cole-tied-up-during-violent-robbery-and-threatened-with-having-fingers-cut-off-court-hears
16,"
                Barca highly interested in Lewandowski            
",Barcelona are highly interested in signing Bayern Munich striker Robert Lewandowski.,11/04/22 6:05pm,Football,https://www.skysports.com/football/news/20876/12588252/robert-lewandowski-barcelona-highly-interested-in-signing-bayern-munich-striker
17,"
                Man appears in court over Old Firm bottle incident            
",A man accused of throwing a bottle at a member of Celtic's backroom staff during the Old Firm clash has appeared in court.,11/04/22 5:00pm,Football,https://www.skysports.com/football/news/11781/12588228/old-firm-man-appears-in-court-over-bottle-incident-during-rangers-vs-celtic-clash
18,"
                Lionesses aiming to close in on WC qualification            
",England Women are aiming to all but confirm their place at next summer's Women's World Cup as they take on Northern Ireland Women at a sold-out Windsor Park on Tuesday.,11/04/22 4:30pm,Football,https://www.skysports.com/football/northern-ireland-women-vs-england-women/preview/458023
19,"
                Old Firm clash live on Sky Sports as post-split fixtures announced            
",The Old Firm clash between Celtic and Rangers will be shown live on Sky Sports as the Scottish Premiership's post-split fixtures are announced.,11/04/22 4:30pm,Football,https://www.skysports.com/football/news/30778/12588144/celtic-vs-rangers-to-be-shown-live-on-sky-sports-as-scottish-premiership-post-split-fixtures-are-announced
